red_corner,blue_corner,round,event,title_fight,notable_win,winner,method_of_victory,draw,weight_class,video,video_thumbnail,date
Valentina Shevchenko,Katlyn Chookagian,3,UFC 247,FALSE,TRUE,Red,Knockout,FALSE,125,fe6wsD52inQ,https://i.ytimg.com/vi/fe6wsD52inQ/maxresdefault.jpg,
Valentina Shevchenko, Joanna Jedrzejczyk,5,UFC 231,FALSE,TRUE,Red,Decision,FALSE,125,xH8BTpRDk8s,https://i.ytimg.com/vi/xH8BTpRDk8s/maxresdefault.jpg,
Tyron Woodley,Kamaru Usman,5,UFC 235,TRUE,TRUE,Blue,Decision,FALSE,170,lX5YcnFcX-I,https://i.ytimg.com/vi/lX5YcnFcX-I/maxresdefault.jpg,
Tyron Woodley,Gilbert Burns,5,UFC on ESPN 9,FALSE,TRUE,Blue,Decision,FALSE,170,WCPBr1_MaWg,https://i.ytimg.com/vi/WCPBr1_MaWg/maxresdefault.jpg,
Tyron Woodley,Darren Till,2,UFC 228,TRUE,TRUE,Red,Submission,FALSE,170,Z73VeGmcb1Q,https://i.ytimg.com/vi/Z73VeGmcb1Q/maxresdefault.jpg,
Stipe Miocic,Daniel Cormier,5,UFC 252,TRUE,TRUE,Red,Decision,FALSE,265,bKWLqje2TJg,https://i.ytimg.com/vi/bKWLqje2TJg/maxresdefault.jpg,
Rose Namajunas,Jessica Andrade,2,UFC 237,TRUE,TRUE,Blue,Knockout,FALSE,115,zY9TdjH7xN4,https://i.ytimg.com/vi/zY9TdjH7xN4/maxresdefault.jpg,
Ronda Rousey,Miesha Tate,3,UFC 168,TRUE,TRUE,Red,Submission,FALSE,135,yoUbQxvDVss,https://i.ytimg.com/vi/yoUbQxvDVss/maxresdefault.jpg,
Anderson Silva,Michael Bisping,5,UFC Fight Night 84,FALSE,TRUE,Blue,Decision,FALSE,185,swcgEARqmmU,https://i.ytimg.com/vi/swcgEARqmmU/maxresdefault.jpg,
Max Holloway,Alexander Volkonovski,5,UFC 245,TRUE,TRUE,Blue,Decision,FALSE,145,oaeTtOQVfWw,https://i.ytimg.com/vi/oaeTtOQVfWw/maxresdefault.jpg,
Marlon Moraes,Cory Sandhagen,2,UFC Fight Night 179,FALSE,TRUE,Blue,Knockout,FALSE,135,5aXscYK3fgY,https://i.ytimg.com/vi/5aXscYK3fgY/maxresdefault.jpg,
Khabib Nurmagomedov,Michael Johnson,3,UFC 205,FALSE,FALSE,Red,Submission,FALSE,155,PYtS62GGhmw,https://i.ytimg.com/vi/PYtS62GGhmw/maxresdefault.jpg,
Khabib Nurmagomedov,Justin Gaethje,2,UFC 254,TRUE,TRUE,Red,Submission,FALSE,155,MQcXEWPesAw,https://i.ytimg.com/vi/MQcXEWPesAw/maxresdefault.jpg,
Khabib Nurmagomedov,Dustin Poirier,3,UFC 242,TRUE,TRUE,Red,Submission,FALSE,155,uVVdRwXFpG4,https://i.ytimg.com/vi/uVVdRwXFpG4/maxresdefault.jpg,
Georges St-Pierre,Matt Hughes,2,UFC 79,TRUE,TRUE,Red,Submission,FALSE,170,DpFl6GFOtRk,https://i.ytimg.com/vi/DpFl6GFOtRk/maxresdefault.jpg,
Brock Lesnar,Frank Mir,1,UFC 81,FALSE,TRUE,Blue,Submission,FALSE,265,fKDpupMnD84,https://i.ytimg.com/vi/fKDpupMnD84/maxresdefault.jpg,
Frankie Edgar,Gray Maynard,5,UFC 125,TRUE,FALSE,None,Decision,TRUE,155,xQ78oPjm_gA,https://i.ytimg.com/vi/xQ78oPjm_gA/maxresdefault.jpg,
Kamaru Usman,Colby Covington,5,UFC 245,TRUE,TRUE,Red,Knockout,FALSE,170,XrBkcpnrpk0,https://i.ytimg.com/vi/XrBkcpnrpk0/maxresdefault.jpg,
Dustin Poirier,Conor McGregor,1,UFC 178,FALSE,TRUE,Blue,Knockout,FALSE,145,9iRvFn8wjJk,https://i.ytimg.com/vi/9iRvFn8wjJk/maxresdefault.jpg,
Tony Ferguson,Justin Gaethje,5,UFC 249,TRUE,TRUE,Blue,Knockout,FALSE,155,bx82GzO1Isk,https://i.ytimg.com/vi/bx82GzO1Isk/maxresdefault.jpg,
Cowboy Cerrone,Justin Gaethje,1,UFC Fight Night 158,FALSE,TRUE,Blue,Knockout,FALSE,155,xd5UEtj4kPY,https://i.ytimg.com/vi/xd5UEtj4kPY/maxresdefault.jpg,
Marlos Moraes,Jose Aldo,3,UFC 245,FALSE,TRUE,Red,Decision,FALSE,135,EJ5h4ywYZMQ,https://i.ytimg.com/vi/EJ5h4ywYZMQ/maxresdefault.jpg,
Jose Aldo,Chad Mendes,5,UFC 179,TRUE,TRUE,Red,Decision,FALSE,145,pEDW8_mHfpo,https://i.ytimg.com/vi/pEDW8_mHfpo/maxresdefault.jpg,
Jorge Masvidal,Nate Diaz,3,UFC 244,FALSE,TRUE,Red,Knockout,FALSE,170,ozgJZ7wmQc8,https://i.ytimg.com/vi/ozgJZ7wmQc8/maxresdefault.jpg,
Jon Jones,Alexander Gustafsson,3,UFC 232,TRUE,TRUE,Red,Knockout,FALSE,205,b7MeXwGku5E,https://i.ytimg.com/vi/b7MeXwGku5E/maxresdefault.jpg,
Jon Jones,Alexander Gustafsson,5,UFC 165,TRUE,TRUE,Red,Decision,FALSE,205,en4hR34Bl8w,https://i.ytimg.com/vi/en4hR34Bl8w/maxresdefault.jpg,
Joanna Jedrzejczyk,Claudia Gadelha,5,UFC TUF 23 Finale,TRUE,TRUE,Red,Decision,FALSE,115,cINJim4gWN4,https://i.ytimg.com/vi/cINJim4gWN4/maxresdefault.jpg,
Stephen Thompson,Anthony Pettis,2,UFC Fight Night 148,FALSE,TRUE,Blue,Knockout,FALSE,170,giNT_HDxEvc,https://i.ytimg.com/vi/GUgd2ebbHpc/maxresdefault.jpg,
Jack Hermansson,Jared Cannonier,2,UFC Fight Night 160,FALSE,TRUE,Blue,Knockout,FALSE,185,xIsrSGmHdWM,https://i.ytimg.com/vi/xIsrSGmHdWM/maxresdefault.jpg,
Robert Whittaker,Israel Adesanya,2,UFC 243,FALSE,TRUE,Blue,Knockout,FALSE,185,RUqZSAfuV5Q,https://i.ytimg.com/vi/RUqZSAfuV5Q/maxresdefault.jpg,
Rob Wilkinson,Israel Adesanya,1,UFC 221,TRUE,FALSE,Blue,Knockout,FALSE,185,T_jyPnHyytQ,https://i.ytimg.com/vi/T_jyPnHyytQ/maxresdefault.jpg,
Frankie Edgar,Chan Sung Jung,1,UFC Fight Night 165,FALSE,TRUE,Blue,Knockout,FALSE,145,oS4yryyv7Cg,https://i.ytimg.com/vi/oS4yryyv7Cg/maxresdefault.jpg,
Tyron Woodley,Stephen Thompson,5,UFC 205,TRUE,FALSE,None,Decision,TRUE,170,8Xb55612vTE,https://i.ytimg.com/vi/8Xb55612vTE/maxresdefault.jpg,
Eddie Alvarez,Conor McGregor,2,UFC 205,TRUE,TRUE,Blue,Knockout,FALSE,155,Htf8Jt-elxo,https://i.ytimg.com/vi/Htf8Jt-elxo/maxresdefault.jpg,
Dustin Poirier,Justin Gaethje,4,UFC on Fox 29,FALSE,TRUE,Red,Knockout,FALSE,155,9nS9s5VrHoo,https://i.ytimg.com/vi/9nS9s5VrHoo/maxresdefault.jpg,
Alexander Hernandez,Donald Cerrone,2,UFC Fight Night 143,FALSE,FALSE,Blue,Knockout,FALSE,155,Oa8duMlNrs0,https://i.ytimg.com/vi/Oa8duMlNrs0/maxresdefault.jpg,
Dominick Reyes,Chris Weidman,1,UFC on ESPN 6,FALSE,TRUE,Red,Knockout,FALSE,205,_l7LGwhqD18,https://i.ytimg.com/vi/_l7LGwhqD18/maxresdefault.jpg,
Dominick Cruz,Cody Garbrandt,5,UFC 207,TRUE,TRUE,Blue,Decision,FALSE,135,GyM9gK52MaQ,https://i.ytimg.com/vi/GyM9gK52MaQ/maxresdefault.jpg,
Deiveson Figueiredo,Joseph Benavidez,1,UFC Fight Night 172,TRUE,TRUE,Red,Submission,FALSE,125,lmr1gRq5d58,https://i.ytimg.com/vi/lmr1gRq5d58/maxresdefault.jpg,
Wendell Oliveira,Darren Till,2,UFC Fight Night 67,FALSE,TRUE,Blue,Knockout,FALSE,170,9h9gw_qtIr8,https://i.ytimg.com/vi/9h9gw_qtIr8/maxresdefault.jpg,
Stipe Miocic,Daniel Cormier,1,UFC 226,TRUE,TRUE,Red,Knockout,FALSE,265,4NCHPFS7VzQ,https://i.ytimg.com/vi/4NCHPFS7VzQ/maxresdefault.jpg,
Dan Hooker,Michael Chandler,1,UFC 257,FALSE,TRUE,Blue,Knockout,FALSE,155,9xr-FtUKPCo,https://i.ytimg.com/vi/9xr-FtUKPCo/maxresdefault.jpg,
Corey Anderson,Jan Blachowicz,1,UFC Fight Night 167,FALSE,TRUE,Blue,Knockout,FALSE,205,frY6rogNMqM,https://i.ytimg.com/vi/frY6rogNMqM/maxresdefault.jpg,
Marcus Brimage,Conor McGregor,1,UFC on Fuel Tv 9,FALSE,FALSE,Blue,Knockout,FALSE,145,HelivOF6vI8,https://i.ytimg.com/vi/HelivOF6vI8/maxresdefault.jpg,
Francis Ngannou,Junior dos Santos,1,UFC on ESPN 3,FALSE,TRUE,Red,Knockout,FALSE,265,BY6UMwmmt5Q,https://i.ytimg.com/vi/BY6UMwmmt5Q/maxresdefault.jpg,
Stipe Miocic,Alistar Overeem,1,UFC 203,TRUE,TRUE,Red,Knockout,FALSE,265,GFmfgIZ6vPI,https://i.ytimg.com/vi/gfoOvT-Ut7g/maxresdefault.jpg,
Chad Mendes,Conor McGregor,2,UFC 189,TRUE,TRUE,Blue,Knockout,FALSE,145,1COn5FgfRPA,https://i.ytimg.com/vi/1COn5FgfRPA/maxresdefault.jpg,
Chris Weidman,Lyoto Machida,5,UFC 175,TRUE,TRUE,Red,Decision,FALSE,185,tQgA4UJt9jA,https://i.ytimg.com/vi/tQgA4UJt9jA/maxresdefault.jpg,
Conor McGregor,Diego Brandão,1,UFC Fight Night 46,FALSE,FALSE,Red,Knockout,FALSE,145,gfoOvT-Ut7g,https://i.ytimg.com/vi/giNT_HDxEvc/maxresdefault.jpg,
Anderson Silva,Chael Sonnen,5,UFC 117,TRUE,TRUE,Red,Submission,FALSE,185,DpLaqnwFQEY,https://i.ytimg.com/vi/DpLaqnwFQEY/maxresdefault.jpg,
Anderson Silva,Stephan Bonnar,1,UFC 153,FALSE,FALSE,Red,Knockout,FALSE,205,S8w_dtWrcig,https://i.ytimg.com/vi/S8w_dtWrcig/sddefault.jpg,